id,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
25251883,100%,100%,f,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"$1,380.00",30.0,1125.0,12,42,72,347,91,0,0,4.78,4.9,4.99,4.8,4.97,5.0,4.85,1.54
24798967,89%,75%,t,t,Private room in home,Private room,3,1 private bath,1.0,1.0,$670.00,3.0,1125.0,29,59,89,178,4,4,0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,0.36
24799483,100%,99%,f,t,Private room in rental unit,Private room,3,1.5 shared baths,1.0,1.0,$271.00,1.0,1125.0,12,38,68,68,317,63,4,4.79,4.85,4.88,4.65,4.88,4.92,4.85,5.4
25254275,100%,100%,f,t,Entire rental unit,Entire home/apt,6,2 baths,2.0,5.0,"$1,370.00",1.0,1125.0,9,29,59,330,181,47,5,4.65,4.78,4.85,4.65,4.81,4.94,4.74,3.07
25769906,100%,100%,f,f,Private room in guest suite,Private room,1,1 private bath,1.0,1.0,$400.00,6.0,360.0,0,27,57,332,7,1,0,4.86,4.57,5.0,4.71,5.0,4.57,4.86,0.12
24799913,,100%,f,t,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,$764.00,2.0,7.0,28,58,88,178,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2
25772664,,,f,t,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,$750.00,1.0,1125.0,0,0,0,27,61,0,0,4.56,4.75,4.84,4.69,4.77,4.85,4.7,1.05
25775871,,,f,t,Private room in rental unit,Private room,1,1.5 baths,1.0,1.0,$500.00,1.0,1125.0,0,0,0,0,19,0,0,5.0,5.0,5.0,4.94,5.0,5.0,4.94,0.32
25780263,100%,100%,f,t,Entire condo,Entire home/apt,6,1 bath,2.0,3.0,$689.00,2.0,1125.0,5,34,64,64,85,20,2,4.81,4.81,4.88,4.82,4.92,4.67,4.78,1.45
25781133,100%,100%,t,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"$1,164.00",2.0,1125.0,5,23,42,212,242,44,4,4.87,4.93,4.95,4.87,4.95,4.98,4.9,4.3
25256029,100%,100%,f,t,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"$2,313.00",2.0,1125.0,3,24,54,329,57,3,1,4.68,4.86,4.74,4.88,4.84,4.95,4.63,0.97
25257749,100%,100%,f,t,Entire condo,Entire home/apt,5,2 baths,2.0,3.0,$901.00,1.0,1125.0,14,44,74,155,161,53,4,4.94,4.96,4.96,4.84,4.94,4.96,4.93,2.75
24800570,,67%,f,t,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,"$1,280.00",1.0,1125.0,29,59,89,179,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.2
25258670,,0%,f,t,Entire condo,Entire home/apt,5,2.5 baths,3.0,4.0,"$1,200.00",6.0,1125.0,14,44,74,349,17,0,0,4.94,5.0,5.0,4.94,5.0,5.0,5.0,0.29
25785899,100%,97%,t,t,Entire rental unit,Entire home/apt,6,1 bath,3.0,4.0,$795.00,3.0,1125.0,20,50,80,80,106,16,1,4.87,4.9,4.99,4.78,4.97,4.9,4.84,1.83
24803643,,,f,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,$856.00,1.0,1125.0,4,17,47,322,139,25,2,4.86,4.94,4.82,4.83,4.83,4.78,4.89,2.35
25800125,,,f,f,Private room in home,Private room,2,1 private bath,1.0,1.0,"$1,400.00",1.0,3.0,29,59,89,364,0,0,0,,,,,,,,
25806402,0%,,f,t,Entire home,Entire home/apt,1,1 bath,1.0,1.0,$500.00,33.0,60.0,23,53,83,83,0,0,0,,,,,,,,
25260252,100%,100%,t,t,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,$873.00,1.1,1125.0,5,21,50,50,216,49,3,4.88,4.95,4.93,4.9,4.94,4.9,4.9,3.88
24805397,100%,97%,t,t,Private room in home,Private room,2,1.5 baths,1.0,1.0,$540.00,2.0,1125.0,8,29,59,239,95,24,2,4.96,5.0,4.99,4.99,4.95,4.96,4.97,1.61
24805668,,100%,f,f,Private room in home,Private room,3,1 shared bath,1.0,1.0,$664.00,1.6,1125.0,29,59,89,364,2,1,0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.08
25810783,100%,83%,f,t,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,$847.00,2.0,90.0,19,49,79,354,115,30,5,4.84,4.89,4.9,4.94,4.82,4.92,4.83,1.98
