id,property_type,room_type,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
675319068489708617,Entire condo,Entire home/apt,1.0,0.98,1.0,1.0,3.0,1.0,2.0,2.0,1092.0,1.0,1125.0,23,53,83,357,9.0,9.0,0.0,4.78,4.89,5.0,5.0,5.0,4.89,4.67,1.18
668921021157381844,Entire rental unit,Entire home/apt,0.99,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2200.0,1.0,90.0,20,50,75,159,18.0,18.0,3.0,4.83,5.0,4.39,4.83,4.83,4.94,4.83,2.22
675329409719299615,Entire condo,Entire home/apt,1.0,0.99,1.0,1.0,8.0,2.0,3.0,4.0,2613.0,2.0,1125.0,11,25,52,142,35.0,35.0,6.0,4.94,4.91,4.97,4.89,5.0,5.0,4.89,5.44
668945237098397698,Entire condo,Entire home/apt,0.95,0.75,0.0,1.0,5.0,2.0,3.0,4.0,1800.0,1.0,365.0,0,0,0,0,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.39
675341415117081834,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1893.0,1.0,1125.0,29,59,89,364,10.0,10.0,2.0,4.8,4.9,4.6,4.8,4.6,4.6,4.6,1.2
678487878217971198,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,8.0,3.0,3.0,4.0,7481.0,1.0,1125.0,19,45,72,342,34.0,34.0,3.0,4.85,4.97,4.97,4.97,4.88,4.94,4.91,4.21
681055186400045411,Entire rental unit,Entire home/apt,1.0,1.0,0.0,1.0,4.0,1.0,1.0,3.0,1300.0,1.0,1125.0,11,41,71,346,17.0,17.0,0.0,4.59,4.59,4.65,4.59,4.65,4.82,4.59,2.22
678506904931536428,Private room in condo,Private room,0.67,0.98,0.0,1.0,2.0,1.0,1.0,1.0,333.0,1.0,1125.0,10,12,39,314,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.39
675363988595872980,Shipping container,Entire home/apt,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,455.0,1.0,365.0,25,55,85,360,19.0,19.0,0.0,4.89,4.89,4.89,4.89,5.0,4.84,4.84,2.26
681062638273458685,Entire condo,Entire home/apt,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1850.0,3.0,60.0,0,0,0,1,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.63
678612692548012767,Private room in rental unit,Private room,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325.0,1.0,365.0,5,35,65,340,0.0,0.0,0.0,4.72,4.78,4.83,4.75,4.82,4.83,4.71,1.7
681062771961046191,Private room in vacation home,Private room,1.0,0.98,0.0,1.0,3.1,4.0,1.5,1.8,4274.0,1.0,365.0,30,60,90,365,0.0,0.0,0.0,4.72,4.78,4.83,4.75,4.82,4.83,4.71,1.7
678770214037304395,Entire condo,Entire home/apt,1.0,1.0,0.0,1.0,4.0,2.0,2.0,2.0,1200.0,2.0,60.0,30,60,90,365,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.39
678795225591179212,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2862.0,1.0,1125.0,22,52,82,357,33.0,33.0,4.0,4.76,4.85,4.79,4.85,4.88,4.73,4.73,4.04
675399801933736311,Private room in casa particular,Private room,1.0,0.98,0.0,1.0,1.0,1.0,1.0,1.0,586.0,1.0,365.0,30,60,90,365,23.0,23.0,3.0,4.26,4.22,4.09,4.22,4.3,4.61,4.3,3.32
675404081334919837,Entire rental unit,Entire home/apt,0.95,0.91,0.0,1.0,4.0,2.0,2.0,2.0,3143.0,2.0,1125.0,7,10,22,226,29.0,29.0,6.0,4.93,4.97,4.93,4.86,4.9,5.0,4.93,3.64
681062804786742766,Private room in vacation home,Private room,1.0,0.98,0.0,1.0,5.0,2.0,1.0,3.0,369.0,1.0,365.0,20,48,78,352,23.0,23.0,2.0,4.39,4.39,4.52,4.57,4.22,4.61,4.52,3.11
675426079796021735,Entire rental unit,Entire home/apt,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,700.0,1.0,365.0,25,54,84,359,9.0,9.0,3.0,4.89,4.89,4.89,4.89,5.0,4.78,5.0,1.33
675441239707242841,Entire loft,Entire home/apt,1.0,0.99,1.0,1.0,2.0,1.0,1.0,1.0,797.0,2.0,365.0,12,42,72,335,18.0,18.0,1.0,4.67,4.61,4.94,4.72,4.72,4.56,4.61,2.3
675447843153277004,Entire rental unit,Entire home/apt,0.93,1.0,0.0,1.0,9.0,3.0,3.0,4.0,1390.0,2.0,184.0,13,40,68,239,34.0,34.0,4.0,4.53,4.68,4.82,4.47,4.62,4.88,4.76,4.15
678830742816704208,Entire condo,Entire home/apt,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,986.0,2.0,1125.0,14,43,73,347,21.0,21.0,3.0,4.81,4.95,4.95,4.9,5.0,4.81,4.62,2.85
678867154472238314,Private room in rental unit,Private room,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,945.0,5.0,1125.0,0,0,28,111,0.0,0.0,0.0,4.72,4.78,4.83,4.75,4.82,4.83,4.71,1.7
681079491561420040,Entire serviced apartment,Entire home/apt,0.9,0.7,0.0,1.0,2.0,1.0,1.0,2.0,943.0,3.0,365.0,29,59,89,364,3.0,3.0,0.0,5.0,4.67,5.0,5.0,5.0,5.0,4.33,0.45
678890356924972110,Private room in casa particular,Private room,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,369.0,1.0,365.0,27,57,87,362,16.0,16.0,3.0,4.5,4.56,4.81,4.5,4.63,4.94,4.56,2.04
678894899516507001,Private room in villa,Private room,0.95,1.0,0.0,1.0,2.0,1.0,1.0,1.0,650.0,1.0,1125.0,20,50,80,260,20.0,20.0,0.0,4.95,4.95,4.95,4.95,4.95,5.0,4.9,2.51
